Martina, Gómez, 50, Mosca, Femenino
Camila, Duarte, 49, Mosca, Femenino
Abril, Paredes, 50, Mosca, Femenino
Luciana, Vega, 48, Mosca, Femenino
Morena, Sosa, 49, Mosca, Femenino
Valentina, Ramos, 48, Mosca, Femenino
Delfina, Acosta, 49, Mosca, Femenino
Zoe, Quiroga, 50, Mosca, Femenino
Tomás, Rivas, 51, Mosca, Masculino
Mateo, Leiva, 52, Mosca, Masculino
Joaquín, Torres, 52, Mosca, Masculino
Santiago, Núñez, 51, Mosca, Masculino
Lucas, Ortega, 50, Mosca, Masculino
Enzo, Barrios, 52, Mosca, Masculino
Lautaro, Peralta, 51, Mosca, Masculino
Thiago, Medina, 52, Mosca, Masculino
